molecule_chembl_id,bioactivity_class,standard_value,canonical_smiles,Molecular_Weight,LogP,HBD,HBA,pIC50
CHEMBL2408753,active,9.0,COC[C@@]1(C)C[C@H](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)c2cc(CC(C)(C)C)ccc2O1,518.6450000000003,4.480000000000003,3,5,8.045757490560675
CHEMBL2408750,active,8.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CC(C)(C)Oc2ccc(CC(C)(C)C)cc21,488.6190000000003,4.853500000000005,3,4,8.096910013008056
CHEMBL2408757,active,6.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CC(C)(C)Oc2ccc(CC(C)(C)C#N)cc21,499.6020000000003,4.357180000000004,3,5,8.221848749616356
CHEMBL2408751,active,6.0,CCC[C@@]1(C)C[C@H](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)c2cc(CC(C)(C)C)ccc2O1,516.6730000000002,5.6337000000000055,3,4,8.221848749616356
CHEMBL2048047,active,55.0,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)[C@@H]2O)c1,600.5970000000003,4.683800000000004,3,6,7.259637310505756
CHEMBL2048047,active,2.0,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)[C@@H]2O)c1,600.5970000000003,4.683800000000004,3,6,8.698970004336019
CHEMBL2425607,intermediate,422.0,COC[C@@H](Oc1cc(C[C@@H]2C[S@@+]([O-])C[C@H](NCc3cc(C(C)(C)C)ccn3)[C@H]2O)cc(F)c1N)C(F)(F)F,561.6420000000004,3.4968000000000012,3,7,6.374687549038326
CHEMBL2425606,intermediate,764.0,COC[C@@H](Oc1cc(C[C@@H]2C[S@@+]([O-])C[C@H](NCc3cc(CC(C)(C)C)on3)[C@H]2O)cc(F)c1N)C(F)(F)F,565.6300000000005,3.3809000000000013,3,8,6.11690664142431
CHEMBL2425605,intermediate,124.0,COC[C@@H](Oc1cc(C[C@@H]2C[S@@+]([O-])C[C@H](NCc3cnn(CC(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,564.6460000000004,3.046900000000001,3,8,6.906578314837765
CHEMBL2425604,intermediate,382.0,COC[C@@H](Oc1cc(C[C@@H]2C[S@@+]([O-])C[C@H](NCc3cccc(OC(F)(F)F)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,588.5420000000001,3.7029000000000014,3,7,6.4179366370882915
CHEMBL2425603,active,75.0,COC[C@@H](Oc1cc(C[C@@H]2C[S@@+]([O-])C[C@H](NCc3cccc(OC(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,562.6260000000003,3.5915000000000017,3,7,7.1249387366083
CHEMBL2425602,intermediate,126.0,COC[C@@H](Oc1cc(C[C@@H]2C[S@@+]([O-])C[C@H](NCc3cccc(C(C)(C)O)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,562.6260000000003,3.0317000000000007,4,7,6.899629454882437
